No.,속성,属性,아이돌명,HEX,Slug,파일명,공식 프로필 URL,스탠딩 이미지 URL,HEX 출처 URL,속성 출처 URL,공식 목록 URL
1,큐트,キュート,辻野あかり,#E10600,akari,akari.webp,https://cinderellagirls.idolmaster-official.jp/idol/akari/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/akari/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
2,큐트,キュート,大沼くるみ,#FFC1BD,kurumi,kurumi.webp,https://cinderellagirls.idolmaster-official.jp/idol/kurumi/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/kurumi/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
3,큐트,キュート,楊菲菲,#E56F66,yao,yao.webp,https://cinderellagirls.idolmaster-official.jp/idol/yao/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/yao/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
4,큐트,キュート,関裕美,#FFB3AB,hiromi,hiromi.webp,https://cinderellagirls.idolmaster-official.jp/idol/hiromi/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/hiromi/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
5,큐트,キュート,持田亜里沙,#FD9286,arisa,arisa.webp,https://cinderellagirls.idolmaster-official.jp/idol/arisa/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/arisa/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
6,큐트,キュート,相原雪乃,#D06447,yukino,yukino.webp,https://cinderellagirls.idolmaster-official.jp/idol/yukino/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/yukino/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
7,큐트,キュート,安斎都,#FA9063,miyako,miyako.webp,https://cinderellagirls.idolmaster-official.jp/idol/miyako/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/miyako/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
8,큐트,キュート,藤本里奈,#623B2A,rina,rina.webp,https://cinderellagirls.idolmaster-official.jp/idol/rina/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/rina/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
9,큐트,キュート,柳瀬美由紀,#FF5D14,miyuki,miyuki.webp,https://cinderellagirls.idolmaster-official.jp/idol/miyuki/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/miyuki/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
10,큐트,キュート,大原みちる,#D8843E,michiru,michiru.webp,https://cinderellagirls.idolmaster-official.jp/idol/michiru/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/michiru/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
11,큐트,キュート,クラリス,#FFDA7B,clarice,clarice.webp,https://cinderellagirls.idolmaster-official.jp/idol/clarice/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/clarice/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
12,큐트,キュート,榊原里美,#FEC520,satomi,satomi.webp,https://cinderellagirls.idolmaster-official.jp/idol/satomi/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/satomi/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
13,큐트,キュート,日下部若葉,#C4D673,wakaba,wakaba.webp,https://cinderellagirls.idolmaster-official.jp/idol/wakaba/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/wakaba/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
14,큐트,キュート,古賀小春,#C2E189,koharu,koharu.webp,https://cinderellagirls.idolmaster-official.jp/idol/koharu/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/koharu/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
15,큐트,キュート,緒方智絵里,#6CC24A,chieri,chieri.webp,https://cinderellagirls.idolmaster-official.jp/idol/chieri/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/chieri/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
16,큐트,キュート,浅野風香,#618D75,fuka,fuka.webp,https://cinderellagirls.idolmaster-official.jp/idol/fuka/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/fuka/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
17,큐트,キュート,間中美里,#D1F9E6,misato,misato.webp,https://cinderellagirls.idolmaster-official.jp/idol/misato/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/misato/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
18,큐트,キュート,栗原ネネ,#0F7BF8,nene,nene.webp,https://cinderellagirls.idolmaster-official.jp/idol/nene/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/nene/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
19,큐트,キュート,輿水幸子,#C1A0DA,sachiko,sachiko.webp,https://cinderellagirls.idolmaster-official.jp/idol/sachiko/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/sachiko/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
20,큐트,キュート,柳清良,#E7CBEE,kiyora,kiyora.webp,https://cinderellagirls.idolmaster-official.jp/idol/kiyora/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/kiyora/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
21,큐트,キュート,白菊ほたる,#C964CF,hotaru,hotaru.webp,https://cinderellagirls.idolmaster-official.jp/idol/hotaru/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/hotaru/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
22,큐트,キュート,今井加奈,#FF3DE5,kana,kana.webp,https://cinderellagirls.idolmaster-official.jp/idol/kana/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/kana/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
23,큐트,キュート,早坂美玲,#C800A1,mirei,mirei.webp,https://cinderellagirls.idolmaster-official.jp/idol/mirei/,https://cinderellagirls.idolmaster-official.jp/assets/img/idol/mirei/idol_detail.png,https://imas-db.jp/misc/color.html,https://imas-history.com/entry/2020/09/21/161310,https://cinderellagirls.idolmaster-official.jp/idol/
