id,filename,source_url,width,height,format,bytes
1,Toma_Amagase.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/1/main_all.png,1013,1230,WEBP,57340
2,Teru_Tendo.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/4/main_all.png,1013,1230,WEBP,47622
3,Minori_Watanabe.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/11/main_all.png,1013,1230,WEBP,66246
4,Ryu_Kimura.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/15/main_all.png,1013,1230,WEBP,57002
5,Hayato_Akiyama.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/20/main_all.png,1013,1230,WEBP,64256
6,Shiki_Iseya.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/24/main_all.png,1013,1230,WEBP,72008
7,Suzaku_Akai.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/25/main_all.png,1013,1230,WEBP,82706
8,Asselin_Beelzebuth_II.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/29/main_all.png,1013,1230,WEBP,72874
9,Saki_Mizushima.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/31/main_all.png,1013,1230,WEBP,56992
10,Shiro_Tachibana.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/33/main_all.png,1013,1230,WEBP,53274
11,Takeru_Taiga.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/38/main_all.png,1013,1230,WEBP,52674
12,Michiru_Enjoji.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/39/main_all.png,1013,1230,WEBP,71204
13,Ren_Kizaki.webp,https://idolmaster-official.jp/assets/img/sidem/vender/idol/detail/main_all/40/main_all.png,1013,1230,WEBP,64358
